city_name,,Abidjan,Abidjan,Accra,Accra,Bamako,Bamako,Belo_Horizonte,Belo_Horizonte,Bogota,Bogota,Campinas,Campinas,Cape_Town,Cape_Town,Lagos,Lagos,Luanda,Luanda,Nairobi,Nairobi
label_cat_subdivision_irregular,,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision,Irregular Settlement,Subdivision
m1_final,count,33.0,43.0,17.0,27.0,15.0,28.0,10.0,18.0,45.0,60.0,8.0,25.0,24.0,33.0,8.0,25.0,20.0,50.0,14.0,20.0
m1_final,mean,0.33343169982028875,0.584865553673612,0.43610105877075367,0.5669753587466341,0.3636769251954668,0.8096080414639549,0.4750954232998206,0.5822047911223645,0.49776291471193085,0.6101004561964898,0.39636885560039603,0.6853953505876541,0.48564022558456704,0.7315787080282622,0.322817973642908,0.510739610738883,0.4120819984080054,0.6271721968031948,0.35712914969010995,0.4649066715273005
m1_final,std,0.16569107085762524,0.2389082749399913,0.17711079168746927,0.24687468561400103,0.2617021304428871,0.2749347386457721,0.25529645288439845,0.20566382216854984,0.22206389594131798,0.31751486298728704,0.13673990846650574,0.2195149389397776,0.21851478716981565,0.23606305133192157,0.15578109341528723,0.1903943386247803,0.20939549706005647,0.26569208889106954,0.28664761201167505,0.24569562258336228
m1_final,min,0.000553368569954809,0.0011954205001486534,0.09334072671217669,0.000533980762662022,0.0,0.0038299127255931546,0.0020137169214701654,0.2537578315769211,0.003057183371269751,0.0059020337705817365,0.23805079633774043,0.09965439655939001,0.0009279610669606661,0.007362343712215781,0.0005923321662542717,0.0418443559166919,0.0010230001301662925,0.0003244619645623783,0.0037776320818843512,0.11452928534877922
m1_final,25%,0.262863863642206,0.40583497176476563,0.30588477895454064,0.4989480435562726,0.0478539518565726,0.8306427317183107,0.3594388043961613,0.4222824051416765,0.3636363636363637,0.39367324449559277,0.3227611940298508,0.6428244661662588,0.4050206734228955,0.5801683500100117,0.3007740570869069,0.4581205188437652,0.3568999865525688,0.3827217912240522,0.07428091806649492,0.22422231280845298
m1_final,50%,0.36413404875788635,0.646437149214965,0.4726040251256293,0.6382972175371358,0.5214285714285714,0.901809826287137,0.5896291307743456,0.5731818522998826,0.46634987138827827,0.6798707915751874,0.3948374006826995,0.7624458684460534,0.527959953922372,0.7722125870100635,0.31261538461538463,0.5177413180222364,0.38897302290186125,0.7084450201464585,0.37769688245040167,0.5253541144439471
m1_final,75%,0.4423841058067076,0.742679736802719,0.5925853696809127,0.6800810296369086,0.5214285714285716,0.9674775251190328,0.6409565703587726,0.7557155881808055,0.6188125163655509,0.8920648962613302,0.4284935416094459,0.8198790090459964,0.6669219880486532,0.9143284506083659,0.4175598580643086,0.608460250895456,0.5541832354245866,0.8747201552718411,0.551266216274448,0.6511458703741957
m1_final,max,0.7369256905849557,0.9894219045287564,0.745929122239289,0.95009804503287,0.6700401652731547,0.9985333979690363,0.7567567567567567,0.9266442788882917,0.9481108643477705,0.9999903660857907,0.6653524458757314,0.9306909346584206,0.7321274509028861,0.9988755809208005,0.515442084543637,0.7777689604173951,0.7386947181769435,0.9939191320573322,0.8361701541042175,0.8707599685862607
m2_final,count,33.0,43.0,17.0,27.0,15.0,28.0,10.0,18.0,45.0,60.0,8.0,25.0,24.0,33.0,8.0,25.0,20.0,50.0,14.0,20.0
m2_final,mean,0.4155481410722669,0.6281809861553879,0.6136263104273358,0.6837645914818301,0.43256402616041745,0.8382854547115723,0.6159429818534258,0.677835662899047,0.5121814024370267,0.6195780742294317,0.6286972448148143,0.6964275058543155,0.5706392750416867,0.7486113905333293,0.27711282538635085,0.61707033272331,0.5377053046334562,0.6922141988919206,0.47548907298963916,0.5393550027551851
m2_final,std,0.27245294158404537,0.27686890120449587,0.2158200277649984,0.26884777533428106,0.3188604445482004,0.27814345350436387,0.29409581181314404,0.180707972020964,0.2960007614617297,0.34618305488680917,0.11283361464743072,0.23503826996152472,0.30067671755377584,0.21757686772227744,0.31706207719758567,0.18442089343086107,0.2943781380053092,0.2740715375959683,0.3393533804705849,0.3437792933291572
m2_final,min,0.0006374233263242645,0.0013543334012233292,0.13596883049641784,0.0005068869823461733,1.985907575272039e-06,0.003305359290650319,0.002884301379573844,0.3233069219468704,0.0,0.0,0.503723332138235,0.0045232380883765185,0.0,0.0075054502159180095,0.0,0.08058172279411317,0.0009994527314222867,0.0,0.0045147757253670056,0.0
m2_final,25%,0.14724601482771696,0.5040319448735746,0.4540537285528331,0.7193559408127412,0.04953152739100751,0.8581622702387868,0.6123241302300768,0.5371671030249227,0.37073901180290136,0.3759862249489817,0.5206485418244695,0.6273318182471946,0.43037922439264664,0.6064724273840384,0.0,0.5237355353654077,0.3064573709152472,0.5678844287457692,0.10732947837104088,0.27531769468796247
m2_final,50%,0.4793557955198775,0.7483944498122618,0.7126255133138976,0.7907374056379045,0.6116203488417292,0.9411320016535678,0.7731664576951571,0.7139301304531562,0.5183895154563151,0.7833555405393301,0.6187855641024339,0.7669918955277415,0.6954099937358377,0.8292507355703178,0.16851044283984903,0.6961541634864896,0.6419202983780388,0.828825619433936,0.6287221460187616,0.7243275076023197
