run_id,city,status,elapsed_s,host,exists_roads,exists_intersections,exists_natural,error
ils-20260115_041620-80b3fcad,Bridgetown__Barbados,OK,454.241,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Bronville__South_Africa,OK,276.511,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Bucaramanga__Colombia,PARTIAL,339.794,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Buenos_Aires__Argentina,PARTIAL,339.763,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Buga__Colombia,OK,60.275,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Bugama__Nigeria,PARTIAL,9.789,ip-10-0-195-225,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Bujumbura__Burundi,OK,150.785,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Bukala__Tanzania,PARTIAL,532.298,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Bukavu__Democratic_Republic_of_the_Congo,PARTIAL,325.69,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Bukoba__Tanzania,OK,41.597,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Bulawayo__Zimbabwe,OK,405.983,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Bule_Hora__Ethiopia,PARTIAL,12.769,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Bumba__Democratic_Republic_of_the_Congo,OK,13.448,ip-10-0-203-245,True,True,True,
ils-20260115_041620-80b3fcad,Bunia__Democratic_Republic_of_the_Congo,OK,82.69,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Burao__Somalia,OK,87.354,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Busia__Kenya,PARTIAL,327.497,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Buta__Democratic_Republic_of_the_Congo,PARTIAL,331.597,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Butembo__Democratic_Republic_of_the_Congo,PARTIAL,327.494,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Butusande__Democratic_Republic_of_the_Congo,PARTIAL,328.474,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Buurhakaba__Somalia,OK,19.353,ip-10-0-203-245,True,True,True,
ils-20260115_041620-80b3fcad,Caaguazu__Paraguay,OK,77.626,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Cabimas__Venezuela,OK,146.102,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Cabinda__Angola,OK,193.333,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Cabo_Frio__Brazil,OK,279.993,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Cabo_San_Lucas__Mexico,OK,437.549,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Cabudwaaq__Ethiopia,PARTIAL,327.489,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cachoeiro_de_Itapemirim__Brazil,PARTIAL,325.452,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cafunfo__Angola,OK,10.103,ip-10-0-198-112,True,True,True,
ils-20260115_041620-80b3fcad,Cajamarca__Peru,PARTIAL,327.496,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Calabar__Nigeria,PARTIAL,532.37,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Calabozo__Venezuela,PARTIAL,327.511,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Calama__Chile,PARTIAL,327.505,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cali__Colombia,PARTIAL,328.477,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
